TXN_DATE_TIME,TRANSACTION_ID,CUSTOMER_ID,POLICY_EFF_DT,LOSS_DT,DUREE_CONTRAT_MOIS,REPORT_DT,INSURANCE_TYPE,PREMIUM_AMOUNT,CLAIM_AMOUNT,CUSTOMER_NAME,STATE,POSTAL_CODE,MARITAL_STATUS,MAITAL_STATUS_NUM,AGE,TENURE,PRIME_CUMULEE,MARGE_CONTRAT_A_DATE,EMPLOYMENT_STATUS,ETAT_EMPLOYEE,NO_OF_FAMILY_MEMBERS,RISK_SEGMENTATION,HOUSE_TYPE,SOCIAL_CLASS,CUSTOMER_EDUCATION_LEVEL,CLAIM_STATUS,INCIDENT_SEVERITY,AUTHORITY_CONTACTED,ANY_INJURY,POLICE_REPORT_AVAILABLE,INCIDENT_STATE,INCIDENT_CITY,INCIDENT_HOUR_OF_THE_DAY,AGENT_ID,VENDOR_ID,DATE_OF_JOINING
2020-06-01,TXN00000011,A00007952,2019-03-30,2020-05-20,13,2020-05-25,Life,61.45,92000,Janet Watts,CT,6040,N,0,59,14,182,-91818,Y,1,7,M,Mortgage,MI,Masters,A,Major Loss,Ambulance,1,1,MD,Crofton,23,AGENT01091,VNDR00163,2004-10-09
2020-06-01,TXN00000013,A00003693,2019-06-12,2020-05-24,11,2020-05-27,Health,157.95,11000,Lisa Rosario,AK,99515,Y,1,57,118,1298,-9702,Y,1,3,M,Mortgage,LI,Bachelor,A,Major Loss,Ambulance,0,1,KY,Louisville,22,AGENT00015,VNDR00191,1998-01-31
2020-06-01,TXN00000014,A00007988,2020-01-29,2020-05-18,3,2020-05-23,Life,64.16,51000,Felicita Stoughton,GA,31419,N,0,31,118,354,-50646,Y,1,7,L,Own,LI,High School,A,Total Loss,Ambulance,1,0,AK,Anchorage,0,AGENT01094,VNDR00451,1997-04-15
2020-06-01,TXN00000015,A00005617,2015-06-08,2020-05-20,59,2020-05-25,Mobile,6.76,700,David Pennington,AR,72101,Y,1,55,90,5310,4610,Y,1,6,L,Mortgage,HI,PhD,A,Major Loss,Police,1,1,CO,Arvada,11,AGENT00324,VNDR00135,1994-12-13
2020-06-01,TXN00000016,A00008033,2011-01-25,2020-05-12,111,2020-05-17,Motor,128.73,9000,William Halcomb,DC,20019,Y,1,57,48,5328,-3672,Y,1,2,L,Rent,LI,Bachelor,A,Minor Loss,Police,0,1,AR,Fayetteville,22,AGENT00608,VNDR00051,2015-02-24
2020-06-01,TXN00000017,A00007184,2014-04-17,2020-05-13,72,2020-05-18,Property,114.42,39000,Michael Kimball,CT,6040,Y,1,53,19,1368,-37632,Y,1,5,M,Mortgage,MI,Bachelor,A,Major Loss,Other,0,1,DC,Washington,2,AGENT00911,VNDR00238,1990-10-04
2020-06-01,TXN00000018,A00007426,2015-03-25,2020-05-22,61,2020-05-25,Property,157.18,40000,Mark Huang,CO,80005,Y,1,32,106,6466,-33534,Y,1,4,L,Mortgage,HI,Bachelor,A,Major Loss,Police,0,1,AL,Montgomery,14,AGENT00079,VNDR00451,1997-12-11
2020-06-01,TXN00000019,A00009265,2017-11-03,2020-05-27,30,2020-05-28,Motor,116.55,8000,Marshall Worm,CT,6042,N,0,45,69,2070,-5930,Y,1,4,H,Mortgage,MI,High School,A,Total Loss,Ambulance,0,1,MA,Fitchburg,20,AGENT00994,VNDR00107,2001-04-30
2020-06-01,TXN00000020,A00005314,2013-11-08,2020-05-17,78,2020-05-22,Life,77.17,68000,Mary Carmona,DC,20011,Y,1,59,119,9282,-58718,Y,1,5,M,Mortgage,MI,High School,A,Total Loss,Ambulance,1,1,CO,Arvada,1,AGENT00490,VNDR00451,2015-06-12
2020-06-01,TXN00000021,A00004720,2015-07-10,2020-05-30,58,2020-05-30,Health,155.23,17000,Stacey Lopez,VT,5001,Y,1,51,51,2958,-14042,Y,1,6,L,Own,MI,High School,A,Total Loss,Other,1,0,CO,Arvada,3,AGENT00446,VNDR00215,2009-10-30
2020-06-01,TXN00000022,A00004728,2017-01-19,2020-05-26,40,2020-05-28,Mobile,9.15,300,David Goodman,CA,94708,N,0,51,101,4040,3740,Y,1,4,L,Rent,LI,Masters,A,Major Loss,Ambulance,0,1,DC,Washington,18,AGENT00379,VNDR00451,1995-02-19
2020-06-01,TXN00000023,A00001482,2011-12-29,2020-05-28,100,2020-05-29,Life,81.45,80000,Doris Yazzie,FL,32413,N,0,44,49,4900,-75100,Y,1,4,L,Rent,MI,Bachelor,A,Major Loss,Ambulance,1,1,CA,Woodland,7,AGENT00302,VNDR00375,1997-08-27
2020-06-01,TXN00000024,A00001719,2015-06-20,2020-05-22,59,2020-05-25,Property,153.04,10000,Matt Mattis,AK,99503,Y,1,64,81,4779,-5221,N,0,7,M,Rent,MI,Bachelor,A,Total Loss,Ambulance,0,0,CO,Arvada,22,AGENT00266,VNDR00585,2015-09-01
2020-06-01,TXN00000025,A00000138,2011-10-29,2020-05-17,102,2020-05-22,Property,120.31,30000,Roberto Trudel,GA,31419,Y,1,47,60,6120,-23880,Y,1,5,L,Mortgage,MI,Bachelor,A,Minor Loss,Police,1,0,FL,Lynn Haven,10,AGENT00947,VNDR00451,2008-05-23
2020-06-01,TXN00000026,A00001186,2018-03-18,2020-05-27,26,2020-05-28,Property,87.09,37000,Brian Conley,MD,21076,Y,1,47,95,2470,-34530,Y,1,5,H,Mortgage,MI,Bachelor,A,Minor Loss,Police,1,1,TN,Nashville,13,AGENT00070,VNDR00051,1996-10-19
2020-06-01,TXN00000027,A00006946,2011-12-30,2020-05-14,100,2020-05-19,Health,130.78,17000,Barbara Clouthier,CA,94611,Y,1,26,28,2800,-14200,Y,1,3,L,Rent,MI,PhD,A,Total Loss,Police,1,1,GA,Savannah,11,AGENT00739,VNDR00451,2000-08-21
2020-06-01,TXN00000028,A00004112,2014-06-23,2020-05-28,71,2020-05-29,Health,119.4,19000,Elbert Felix,AR,72701,Y,1,57,85,6035,-12965,Y,1,3,L,Own,HI,Masters,A,Minor Loss,Police,0,0,MA,Quincy,0,AGENT01169,VNDR00310,2015-01-02
2020-06-01,TXN00000029,A00004865,2016-08-29,2020-05-20,44,2020-05-25,Property,159.2,37000,Ronald Shaver,AL,36105,Y,1,43,32,1408,-35592,N,0,3,L,Own,LI,Bachelor,A,Minor Loss,Ambulance,0,1,MD,Pasadena,7,AGENT00431,VNDR00339,2008-04-05
2020-06-01,TXN00000030,A00002422,2019-06-29,2020-05-18,10,2020-05-23,Mobile,8.32,600,Lauren Loftin,TN,37076,N,0,58,49,490,-110,Y,1,4,M,Own,HI,Bachelor,A,Major Loss,Police,0,1,CO,Arvada,19,AGENT00546,VNDR00233,2013-07-03
2020-06-01,TXN00000031,A00003691,2010-07-03,2020-05-14,118,2020-05-19,Health,147.7,13000,Mildred Whitten,AZ,85301,N,0,25,117,13806,806,Y,1,7,M,Rent,MI,PhD,A,Major Loss,Ambulance,1,0,CO,Arvada,3,AGENT00531,VNDR00249,2017-06-21
2020-06-02,TXN00000032,A00006915,2016-01-26,2020-05-20,51,2020-05-25,Property,124.45,15000,Alyssa Bowen,MD,21061,N,0,41,106,5406,-9594,Y,1,4,L,Rent,LI,Bachelor,A,Minor Loss,Ambulance,1,1,AL,Montgomery,22,AGENT01134,VNDR00451,2007-12-25
2020-06-02,TXN00000033,A00009130,2013-03-28,2020-05-26,85,2020-05-28,Life,51.18,27000,James Hendrickson,DC,20001,Y,1,33,28,2380,-24620,Y,1,7,M,Mortgage,LI,PhD,A,Minor Loss,Police,1,1,KY,Louisville,0,AGENT00552,VNDR00451,1998-07-29
2020-06-02,TXN00000034,A00001581,2012-05-24,2020-05-25,96,2020-05-28,Mobile,8.38,100,Brent Lusk,MA,2445,N,0,64,100,9600,9500,Y,1,5,L,Own,LI,Bachelor,A,Minor Loss,Other,1,1,CT,Manchester,17,AGENT00623,VNDR00045,1993-01-23
2020-06-02,TXN00000035,A00007890,2014-08-13,2020-05-17,69,2020-05-22,Life,95.16,74000,Charles Johnson,CA,94702,N,0,26,51,3519,-70481,Y,1,2,L,Mortgage,LI,College,A,Major Loss,Ambulance,1,1,KY,Louisville,13,AGENT00313,VNDR00226,2011-03-10
2020-06-02,TXN00000036,A00003536,2013-02-14,2020-05-13,86,2020-05-18,Life,66.73,69000,Gloria Davis,CO,80007,Y,1,30,100,8600,-60400,Y,1,3,M,Mortgage,MI,Masters,A,Minor Loss,Ambulance,1,0,MD,Pasadena,7,AGENT00886,VNDR00451,2004-10-20
2020-06-02,TXN00000037,A00008207,2017-06-22,2020-05-17,34,2020-05-22,Mobile,8.27,300,Irene Metcalf,FL,32405,Y,1,57,104,3536,3236,Y,1,4,L,Rent,MI,Bachelor,A,Minor Loss,Police,1,1,FL,Panama City,8,AGENT00690,VNDR00451,2010-08-21
2020-06-02,TXN00000038,A00003348,2018-02-28,2020-05-30,27,2020-05-30,Life,50.3,18000,Patsy Cantu,CA,94541,Y,1,30,35,945,-17055,Y,1,5,M,Own,MI,High School,A,Total Loss,Police,0,1,AL,Montgomery,14,AGENT00678,VNDR00451,2004-04-05
2020-06-02,TXN00000039,A00000014,2011-12-29,2020-05-21,100,2020-05-26,Mobile,6.59,600,Louis Yang,KY,40223,Y,1,26,108,10800,10200,Y,1,4,L,Rent,HI,Masters,A,Minor Loss,Ambulance,0,0,DC,Washington,6,AGENT00132,VNDR00560,2004-12-16
2020-06-02,TXN00000040,A00006283,2010-07-27,2020-05-18,117,2020-05-23,Mobile,11.04,600,Albert Wilkie,MA,1201,Y,1,62,108,12636,12036,Y,1,5,H,Rent,MI,PhD,A,Total Loss,Other,0,1,CT,Manchester,0,AGENT00284,VNDR00451,2007-05-31
2020-06-02,TXN00000041,A00003499,2014-07-17,2020-05-23,70,2020-05-26,Life,86.77,34000,Paula Davis,DC,20007,N,0,55,118,8260,-25740,Y,1,5,L,Mortgage,LI,High School,A,Major Loss,Ambulance,0,0,CT,Manchester,2,AGENT00312,VNDR00018,1998-07-09
2020-06-02,TXN00000042,A00008902,2015-07-06,2020-05-20,58,2020-05-25,Motor,89.11,2000,Dorothy James,VT,5753,Y,1,62,66,3828,1828,Y,1,4,H,Own,HI,Masters,A,Minor Loss,Police,0,1,AK,Anchorage,14,AGENT00622,VNDR00560,2015-01-04
2020-06-02,TXN00000043,A00002740,2010-09-05,2020-05-18,116,2020-05-23,Property,140.72,35000,Wayne Landrum,CT,6042,Y,1,57,93,10788,-24212,Y,1,3,L,Rent,HI,PhD,A,Total Loss,Police,1,1,AR,Farmington,0,AGENT00896,VNDR00086,2015-09-19
2020-06-02,TXN00000044,A00009289,2018-07-27,2020-05-22,21,2020-05-27,Property,129.9,18000,Edward Igtanloc,FL,34465,N,0,32,55,1155,-16845,Y,1,6,L,Own,MI,High School,A,Minor Loss,Ambulance,1,1,OK,Oklahoma City,18,AGENT00744,VNDR00451,1997-05-11
2020-06-02,TXN00000045,A00007672,2012-11-28,2020-05-24,89,2020-05-27,Life,84.99,66000,Cheryl Silva,AL,36107,Y,1,39,51,4539,-61461,N,0,3,L,Own,MI,College,A,Minor Loss,Ambulance,1,1,AL,Montgomery,16,AGENT00617,VNDR00451,2001-11-28
2020-06-02,TXN00000046,A00000956,2012-10-01,2020-05-28,91,2020-05-29,Travel,90.04,5000,Mary Cotton,AZ,85306,Y,1,51,105,9555,4555,Y,1,2,M,Rent,MI,High School,A,Minor Loss,Ambulance,1,1,AR,Farmington,5,AGENT00969,VNDR00071,1990-09-10
2020-06-02,TXN00000049,A00008607,2018-09-09,2020-05-29,20,2020-05-30,Mobile,9.05,300,Bertha Roseman,KY,40272,N,0,56,115,2300,2000,Y,1,5,M,Mortgage,HI,Bachelor,A,Major Loss,Ambulance,1,1,DC,Washington,22,AGENT00580,VNDR00451,1997-07-05
2020-06-02,TXN00000050,A00004589,2016-05-07,2020-05-23,48,2020-05-26,Motor,116.99,10000,Travis Louis,AZ,85308,N,0,51,88,4224,-5776,Y,1,7,M,Own,MI,College,A,Minor Loss,Ambulance,0,0,AZ,Glendale,13,AGENT00697,VNDR00488,2015-11-02
2020-06-02,TXN00000051,A00002074,2015-03-15,2020-05-13,61,2020-05-18,Mobile,11.04,400,Marion Dollyhigh,KY,40243,Y,1,49,20,1220,820,N,0,2,H,Mortgage,MI,PhD,A,Total Loss,Ambulance,1,1,VT,Greensboro,22,AGENT00780,VNDR00451,1996-12-22
2020-06-02,TXN00000052,A00000481,2017-04-07,2020-05-15,37,2020-05-20,Mobile,6.63,600,Thomas Lancon,VT,5445,Y,1,64,59,2183,1583,Y,1,7,L,Own,LI,Bachelor,A,Total Loss,Other,0,1,AL,Montgomery,22,AGENT01183,VNDR00277,1991-09-06
2020-06-02,TXN00000053,A00009041,2013-05-27,2020-05-29,84,2020-05-30,Motor,82.82,9000,Wanda Ellison,OK,73170,N,0,43,34,2856,-6144,Y,1,7,L,Mortgage,MI,College,A,Major Loss,Ambulance,0,0,AK,Anchorage,21,AGENT00293,VNDR00025,1993-10-31
2020-06-02,TXN00000054,A00000859,2017-09-05,2020-05-27,32,2020-05-29,Property,104.05,16000,Donald Meehan,OK,73162,Y,1,41,106,3392,-12608,N,0,7,L,Rent,MI,Bachelor,A,Minor Loss,Ambulance,1,1,GA,Savannah,5,AGENT01049,VNDR00448,1996-01-21
2020-06-02,TXN00000055,A00000583,2011-06-29,2020-05-20,106,2020-05-25,Property,137.02,19000,Phillip Walker,AL,36117,Y,1,46,49,5194,-13806,Y,1,3,M,Rent,MI,Bachelor,A,Total Loss,Ambulance,1,1,MD,Glen Burnie,9,AGENT00046,VNDR00445,2001-11-11
2020-06-02,TXN00000056,A00004719,2015-04-01,2020-05-16,61,2020-05-21,Travel,75.99,3000,Claire Carter,VT,5149,Y,1,64,92,5612,2612,Y,1,5,L,Rent,HI,College,A,Total Loss,Ambulance,1,0,MA,Waltham,19,AGENT00224,VNDR00498,2009-08-24
2020-06-02,TXN00000057,A00002089,2010-07-02,2020-05-19,118,2020-05-24,Motor,92.71,2000,Antony Ender,MD,21032,N,0,47,102,12036,10036,Y,1,2,H,Mortgage,MI,High School,A,Total Loss,Police,1,1,CA,Jackson,7,AGENT00410,VNDR00358,2006-12-18
2020-06-02,TXN00000058,A00004245,2019-11-18,2020-05-29,6,2020-05-30,Property,111.33,30000,John Tilley,AR,72701,N,0,36,15,90,-29910,Y,1,2,L,Rent,LI,College,A,Total Loss,Ambulance,1,1,AK,Anchorage,14,AGENT00515,VNDR00164,2004-09-30
2020-06-02,TXN00000059,A00009116,2019-06-25,2020-05-21,10,2020-05-26,Mobile,8.51,300,John Flores,VT,5855,Y,1,48,16,160,-140,Y,1,2,L,Mortgage,MI,MD,A,Major Loss,Ambulance,1,1,OK,Oklahoma City,21,AGENT00824,VNDR00083,2004-09-28
2020-06-02,TXN00000060,A00003178,2019-08-30,2020-05-19,8,2020-05-24,Travel,97.08,2000,Edward Laderman,GA,31405,Y,1,56,104,832,-1168,Y,1,7,L,Own,LI,High School,A,Total Loss,Ambulance,1,0,KY,Louisville,11,AGENT00288,VNDR00451,2002-10-08
2020-06-02,TXN00000061,A00005466,2010-08-27,2020-05-19,116,2020-05-24,Property,155.05,16000,Margaret Bolen,AL,36108,Y,1,32,12,1392,-14608,Y,1,2,L,Rent,MI,Bachelor,A,Minor Loss,Ambulance,1,0,VT,Fairfax,15,AGENT00308,VNDR00457,1998-04-27
2020-06-02,TXN00000062,A00007369,2018-07-19,2020-05-21,22,2020-05-26,Property,124.97,35000,Calvin Eichelberger,DC,20001,Y,1,42,14,308,-34692,Y,1,7,H,Mortgage,MI,Masters,A,Total Loss,Other,0,1,OK,Oklahoma City,21,AGENT01028,VNDR00383,2013-03-17
2020-06-02,TXN00000063,A00002702,2017-05-21,2020-05-24,36,2020-05-27,Property,151.81,15000,Arthur Mitchell,FL,32408,Y,1,53,69,2484,-12516,N,0,7,L,Mortgage,HI,High School,A,Minor Loss,Ambulance,1,1,AZ,Glendale,20,AGENT00111,VNDR00010,2013-09-07
2020-06-02,TXN00000064,A00006128,2014-10-27,2020-06-01,67,2020-06-01,Property,121.54,31000,Debra Oliphant,TN,37013,N,0,40,108,7236,-23764,Y,1,5,L,Own,HI,PhD,A,Major Loss,Police,1,1,MD,Annapolis,22,AGENT00697,VNDR00269,2015-11-02
2020-06-02,TXN00000066,A00000261,2011-02-17,2020-05-26,111,2020-05-28,Life,67.55,96000,Michael Beltrami,VT,5860,Y,1,28,13,1443,-94557,Y,1,5,M,Mortgage,MI,High School,A,Major Loss,Police,1,1,CT,Manchester,13,AGENT00612,VNDR00451,1998-02-17
2020-06-02,TXN00000067,A00008288,2018-03-25,2020-05-15,25,2020-05-20,Travel,98.49,2000,Marion Coffey,MD,21122,N,0,37,96,2400,400,Y,1,5,L,Own,HI,High School,A,Total Loss,Other,1,0,AK,Anchorage,5,AGENT00141,VNDR00383,2003-04-18
2020-06-03,TXN00000068,A00009904,2014-11-03,2020-06-02,66,2020-06-02,Mobile,11.21,400,Denise Blake,KY,40207,Y,1,53,54,3564,3164,Y,1,6,M,Own,MI,Bachelor,A,Total Loss,Other,1,1,CT,Manchester,10,AGENT00572,VNDR00451,2001-07-05
2020-06-03,TXN00000069,A00007027,2011-02-09,2020-05-28,111,2020-05-30,Health,156.2,3000,William Martin,TN,37208,Y,1,36,82,9102,6102,N,0,4,L,Rent,MI,Bachelor,A,Total Loss,Police,0,0,CA,Oakland,7,AGENT00565,VNDR00239,1997-04-09
2020-06-03,TXN00000070,A00003818,2019-09-23,2020-05-23,8,2020-05-28,Mobile,7.23,100,Jacqueline Simpson,OK,73135,N,0,47,16,128,28,Y,1,5,M,Own,MI,High School,A,Major Loss,Other,1,1,AR,Fayetteville,9,AGENT00603,VNDR00451,1993-09-27
2020-06-03,TXN00000071,A00005168,2019-01-30,2020-05-24,15,2020-05-27,Mobile,11.63,400,James Thurgood,MD,21061,Y,1,33,51,765,365,Y,1,2,M,Mortgage,MI,Bachelor,A,Total Loss,Ambulance,1,0,AK,Anchorage,1,AGENT01107,VNDR00033,1995-03-16
2020-06-03,TXN00000072,A00007705,2013-01-09,2020-05-30,88,2020-05-31,Travel,74.36,5000,Mathew Sims,GA,31404,N,0,56,40,3520,-1480,Y,1,3,L,Rent,MI,Bachelor,A,Total Loss,Police,0,1,CO,Arvada,5,AGENT00615,VNDR00407,1998-01-24
2020-06-03,TXN00000073,A00000877,2015-06-24,2020-05-21,58,2020-05-26,Life,76.97,99000,Jeremy Riccio,AR,72704,Y,1,52,108,6264,-92736,Y,1,7,L,Mortgage,LI,Bachelor,A,Minor Loss,Ambulance,0,1,FL,Panama City Beach,3,AGENT00309,VNDR00451,2018-01-30
2020-06-03,TXN00000074,A00006847,2016-10-14,2020-06-01,43,2020-06-01,Mobile,6.15,300,Susan Petersen,CO,80005,Y,1,60,81,3483,3183,Y,1,3,M,Mortgage,LI,College,A,Total Loss,Ambulance,0,1,AL,Montgomery,9,AGENT00315,VNDR00056,2016-09-02
2020-06-03,TXN00000075,A00005205,2018-10-29,2020-05-14,18,2020-05-19,Life,78.34,52000,Anthony Girard,TN,37209,Y,1,60,55,990,-51010,Y,1,4,L,Own,MI,Bachelor,A,Minor Loss,Ambulance,1,0,CO,Telluride,17,AGENT00561,VNDR00451,2015-08-14
2020-06-03,TXN00000076,A00009078,2014-08-15,2020-05-17,69,2020-05-22,Life,67.88,59000,Eileen Svoboda,GA,31405,Y,1,50,34,2346,-56654,Y,1,4,H,Own,HI,Bachelor,A,Major Loss,Ambulance,1,1,CO,Wheat Ridge,19,AGENT00935,VNDR00521,2009-05-18
2020-06-03,TXN00000077,A00000804,2011-07-09,2020-05-14,106,2020-05-19,Life,68.72,60000,William Zeigler,TN,37212,Y,1,32,85,9010,-50990,Y,1,7,H,Rent,MI,High School,A,Major Loss,Ambulance,1,1,CA,Livermore,5,AGENT00210,VNDR00488,2011-04-21
2020-06-03,TXN00000078,A00004234,2017-06-05,2020-05-27,35,2020-05-29,Life,86.31,39000,James Hodges,CA,95824,N,0,42,54,1890,-37110,Y,1,7,M,Mortgage,HI,Bachelor,A,Major Loss,Ambulance,1,0,AR,Fayetteville,17,AGENT00283,VNDR00451,2000-03-11
2020-06-03,TXN00000079,A00002003,2013-08-26,2020-05-22,80,2020-05-27,Motor,100.14,7000,Carlos Montello,MA,2474,Y,1,33,36,2880,-4120,Y,1,6,L,Mortgage,MI,High School,A,Major Loss,Police,1,1,CA,Oakland,15,AGENT00094,VNDR00451,2013-04-29
2020-06-03,TXN00000080,A00000193,2018-07-28,2020-06-02,22,2020-06-02,Travel,81.79,4000,Gary Enciso,CO,80004,N,0,63,43,946,-3054,N,0,3,M,Rent,HI,MD,A,Major Loss,Ambulance,1,0,AR,Fayetteville,4,AGENT00680,VNDR00451,2011-04-13
2020-06-03,TXN00000081,A00009864,2011-11-05,2020-05-24,102,2020-05-27,Life,88.05,79000,Melva Ramirez,OK,73013,Y,1,36,42,4284,-74716,Y,1,5,M,Rent,MI,High School,A,Minor Loss,Ambulance,1,0,GA,Savannah,21,AGENT00319,VNDR00451,2010-03-17
2020-06-03,TXN00000082,A00003565,2013-11-12,2020-05-18,78,2020-05-23,Travel,89.36,2000,Richard Lavalle,CT,6042,Y,1,36,29,2262,262,Y,1,3,L,Mortgage,MI,MD,A,Major Loss,Ambulance,0,0,GA,Savannah,10,AGENT00630,VNDR00287,2014-04-20
2020-06-03,TXN00000083,A00006009,2016-02-05,2020-05-31,51,2020-05-31,Life,95.04,14000,Marion Talley,MD,21076,Y,1,35,39,1989,-12011,Y,1,6,L,Mortgage,MI,Bachelor,A,Minor Loss,Ambulance,0,1,AK,Anchorage,10,AGENT00559,VNDR00466,2006-02-26
2020-06-03,TXN00000084,A00000670,2017-06-01,2020-05-30,35,2020-05-31,Mobile,11.57,100,Diane Givens,TN,37207,N,0,44,107,3745,3645,Y,1,3,L,Rent,MI,College,A,Minor Loss,Ambulance,0,0,FL,Panama City,13,AGENT00771,VNDR00451,1995-04-13
2020-06-03,TXN00000085,A00002691,2016-11-25,2020-05-14,41,2020-05-19,Motor,109.33,6000,Jimmie Herbert,AR,72703,Y,1,50,69,2829,-3171,Y,1,6,L,Rent,HI,Bachelor,A,Total Loss,Ambulance,1,1,FL,Youngstown,0,AGENT00304,VNDR00077,2010-08-22
2020-06-03,TXN00000086,A00007463,2014-07-13,2020-05-28,70,2020-05-30,Motor,126.63,1000,James Miles,TN,37207,Y,1,34,35,2450,1450,Y,1,4,L,Mortgage,HI,Bachelor,A,Major Loss,Police,0,1,CO,Arvada,9,AGENT00167,VNDR00541,1993-01-13
2020-06-03,TXN00000087,A00007262,2011-08-29,2020-05-30,105,2020-05-31,Life,77.65,78000,Monica Threlkeld,FL,32405,Y,1,25,75,7875,-70125,Y,1,5,M,Mortgage,MI,High School,A,Major Loss,Ambulance,1,0,CA,Hesperia,16,AGENT00792,VNDR00588,2008-09-12
2020-06-03,TXN00000088,A00009910,2011-01-31,2020-05-21,111,2020-05-26,Motor,82.0,10000,Tasha Bolds,CO,80004,Y,1,61,21,2331,-7669,Y,1,5,L,Own,MI,College,A,Minor Loss,Ambulance,0,1,FL,Lynn Haven,4,AGENT00001,VNDR00394,1993-06-05
2020-06-03,TXN00000089,A00005802,2017-04-25,2020-05-31,37,2020-05-31,Health,102.63,9000,Joseph Walt,CA,94611,N,0,63,96,3552,-5448,Y,1,3,L,Own,LI,Bachelor,A,Major Loss,Ambulance,0,1,MA,Lowell,4,AGENT00955,VNDR00451,2011-11-22
2020-06-03,TXN00000090,A00006267,2017-08-07,2020-05-27,33,2020-05-29,Health,199.63,16000,Kate Tito,AZ,85304,N,0,26,47,1551,-14449,Y,1,3,L,Mortgage,MI,High School,A,Major Loss,Police,1,1,FL,Panama City,9,AGENT00428,VNDR00451,2011-07-05
